序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市净率PB(LF) 2026.05.08,市场码,市场名,市盈率(TTM) 2026.05.08,市盈率估值状态 2026.05.08,指数小类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额 2026.05.08,总市值(元) 2026.05.08
253,970056,深证民企ESG,2312.93,-0.42,4.19,0,SZ,29.81,估值较低,深证指数,-9.66,2330.01,2302.62,0.00,1.08,29.03亿,1560.38亿,6.70万亿
254,470056,深证民企ESGR,2543.27,-0.42,4.19,0,SZ,29.81,估值较低,深证指数,-10.63,2562.06,2531.94,0.00,1.08,29.03亿,1560.38亿,6.70万亿
255,H30597,新材料,4915.17,-2.09,4.19,2,CSI,40.91,估值较低,中证指数,-105.10,4995.34,4901.91,0.00,0.93,27.42亿,1202.80亿,5.62万亿
256,000693,科创机械,1792.73,0.43,4.18,1,SH,55.18,估值中等,上证指数,7.61,1801.37,1764.46,0.00,1.10,4.67亿,316.05亿,9918.92亿
257,H30062,AMAC专用,5096.78,-0.38,4.17,2,CSI,54.54,估值较低,中证指数,-19.47,5123.21,5049.62,0.00,1.12,51.17亿,1592.58亿,5.71万亿
258,000049,上证民企,2243.34,-0.85,4.17,1,SH,45.79,估值较低,上证指数,-19.33,2249.78,2223.89,0.00,1.32,50.56亿,1654.19亿,6.23万亿
259,930622,CSSW白酒,30301.47,-0.41,4.15,2,CSI,21.40,估值较低,中证指数,-125.87,30479.08,30262.98,0.00,0.85,1.35亿,109.77亿,2.69万亿
260,399997,中证白酒,7526.35,-0.41,4.15,0,SZ,21.40,估值较低,深证指数,-31.26,7570.50,7516.69,0.00,0.85,1.35亿,109.77亿,2.69万亿
261,000103,沪消费品,7467.86,-0.54,4.14,1,SH,25.63,估值较低,上证指数,-40.23,7527.82,7458.43,0.00,0.81,5.12亿,300.28亿,4.41万亿
262,399973,中证国防,2003.43,2.13,4.14,0,SZ,80.66,估值中等,深证指数,41.83,2007.35,1942.37,0.00,1.40,16.96亿,609.89亿,2.00万亿
263,399967,中证军工,15058.95,1.84,4.14,0,SZ,84.89,估值中等,深证指数,272.57,15096.16,14639.11,0.00,1.40,37.10亿,1216.34亿,3.37万亿
264,931526,企业核心竞争力50,1336.78,-0.91,4.12,2,CSI,28.36,估值较低,中证指数,-12.31,1345.31,1331.50,0.00,0.82,13.90亿,815.17亿,5.23万亿
265,970084,创业板传媒,1505.27,-0.79,4.12,0,SZ,-363.65,估值中等,深证指数,-12.00,1545.49,1504.36,0.00,1.37,25.64亿,417.40亿,5257.95亿
266,930648,CS智消费,4108.33,-0.40,4.12,2,CSI,36.16,估值较低,中证指数,-16.68,4113.35,4065.77,0.00,1.07,62.55亿,2810.46亿,11.95万亿
267,931238,SSH黄金股票,3689.08,1.75,4.10,2,CSI,22.28,估值中等,中证指数,63.34,3709.66,3586.03,0.00,1.16,21.98亿,518.33亿,2.94万亿
268,399813,中证国安,8386.53,1.45,4.09,0,SZ,80.53,估值中等,深证指数,119.50,8406.17,8198.83,0.00,1.28,66.32亿,2002.26亿,5.24万亿
269,H11050,AMAC综企,3433.04,-1.27,4.05,2,CSI,84.35,估值较低,中证指数,-44.00,3458.88,3398.69,0.00,0.99,9.03亿,193.79亿,4516.02亿
270,931403,品牌工程,2108.80,-0.92,4.05,2,CSI,27.70,估值较低,中证指数,-19.66,2124.00,2102.76,0.00,0.90,35.92亿,2011.80亿,14.65万亿
271,399625,中创500,2849.66,-0.31,4.03,0,SZ,41.77,估值较低,深证指数,-8.88,2863.70,2831.58,0.00,1.05,233.88亿,8047.34亿,26.23万亿
272,932042,智选航空科技,1795.30,2.32,4.03,2,CSI,89.89,估值中等,中证指数,40.71,1797.94,1743.00,0.00,1.33,15.05亿,537.48亿,1.78万亿
273,399693,安防产业,5087.49,1.12,4.03,0,SZ,81.45,估值中等,深证指数,56.24,5090.31,5000.73,0.00,1.38,27.46亿,613.72亿,1.37万亿
274,801050,有色金属(申万),9810.28,0.16,4.02,62,SWI,25.17,估值中等,申万一级行业,16.03,9848.92,9643.35,0.00,1.08,74.99亿,2078.56亿,6.71万亿
275,970035,深证光伏,4490.41,-0.10,4.02,0,SZ,174.97,估值较低,深证指数,-4.48,4524.68,4445.96,0.00,0.98,22.48亿,552.38亿,1.36万亿
276,470035,深证光伏R,4914.24,-0.10,4.02,0,SZ,174.97,估值较低,深证指数,-4.90,4951.75,4865.60,0.00,0.98,22.48亿,552.38亿,1.36万亿
277,970033,100ESG增强,1689.62,-0.28,4.01,0,SZ,25.76,估值较低,深证指数,-4.80,1701.23,1679.84,0.00,0.95,19.95亿,1647.35亿,10.22万亿
278,470033,100ESG增强R,1938.96,-0.28,4.01,0,SZ,25.76,估值较低,深证指数,-5.51,1952.29,1927.74,0.00,0.95,19.95亿,1647.35亿,10.22万亿
279,931484,CS医药创新,1399.94,-1.04,4.01,2,CSI,24.54,估值较低,中证指数,-14.78,1414.36,1398.47,0.00,0.77,4.04亿,193.63亿,1.89万亿
280,931591,1000成长创新,37068.69,0.33,4.01,2,CSI,37.85,估值中等,中证指数,122.79,37119.71,36581.64,0.00,1.01,29.82亿,1042.31亿,2.96万亿
281,H30043,AMAC饮料,9745.10,-0.14,4.00,2,CSI,21.95,估值较低,中证指数,-13.36,9797.92,9729.21,0.00,0.71,3.69亿,150.18亿,3.15万亿
282,931892,有色矿业,4640.98,0.27,4.00,2,CSI,22.73,估值中等,中证指数,12.38,4658.91,4552.86,0.00,1.12,40.87亿,1226.44亿,4.35万亿
283,399850,深证50,10011.20,-0.39,4.00,0,SZ,35.44,估值较低,深证指数,-39.31,10063.36,9963.58,0.00,0.95,41.92亿,1939.57亿,11.92万亿
284,H30205,饮料指数,20427.22,-0.39,4.00,2,CSI,21.97,估值较低,中证指数,-79.32,20514.05,20402.59,0.00,0.70,3.79亿,149.56亿,3.15万亿
285,399284,AI50,4230.46,0.28,4.00,0,SZ,60.47,估值中等,深证指数,11.86,4254.42,4166.59,0.00,1.24,34.86亿,1057.34亿,2.19万亿
286,399987,中证酒,4439.06,-0.36,3.98,0,SZ,21.43,估值较低,深证指数,-16.24,4461.03,4433.42,0.00,0.73,2.22亿,125.48亿,2.91万亿
287,399697,中关村60,4017.66,-0.44,3.97,0,SZ,249.86,估值较低,深证指数,-17.86,4062.24,3998.77,0.00,1.25,32.45亿,673.12亿,1.32万亿
288,970075,深证AIGC,2683.35,0.03,3.95,0,SZ,30.74,估值中等,深证指数,0.76,2730.59,2673.20,0.00,1.08,24.27亿,780.58亿,2.37万亿
289,470075,深证AIGCR,2862.02,0.03,3.95,0,SZ,30.74,估值中等,深证指数,0.81,2912.41,2851.20,0.00,1.08,24.27亿,780.58亿,2.37万亿
290,399602,中小成长,1495.10,-0.37,3.95,0,SZ,33.59,估值较低,深证指数,-5.59,1502.18,1486.55,0.00,1.01,45.36亿,1763.18亿,6.33万亿
291,399994,信息安全,1952.68,0.12,3.94,0,SZ,70.94,估值较低,深证指数,2.43,1974.12,1929.93,0.00,1.25,32.61亿,816.95亿,1.77万亿
292,399692,创业低波,4055.50,-0.32,3.94,0,SZ,35.12,估值较低,深证指数,-13.10,4074.01,4033.90,0.00,0.88,21.56亿,784.53亿,5.26万亿
293,970074,深证智能穿戴,3432.02,-0.01,3.93,0,SZ,49.16,估值中等,深证指数,-0.20,3437.28,3385.65,0.00,1.11,41.13亿,1149.18亿,3.18万亿
294,470074,深证智能穿戴R,3635.76,0.00,3.93,0,SZ,49.16,估值中等,深证指数,-0.03,3641.33,3586.64,0.00,1.11,41.13亿,1149.18亿,3.18万亿
295,399232,采矿指数,5229.65,0.58,3.92,0,SZ,39.83,估值较低,深证指数,30.15,5295.96,5179.72,0.00,1.09,12.29亿,335.94亿,9767.41亿
296,000807,食品饮料,17069.47,-0.51,3.92,1,SH,21.86,估值较低,上证指数,-87.24,17165.11,17054.08,0.00,0.75,8.14亿,233.18亿,3.88万亿
297,801730,电力设备(申万),11943.63,-1.51,3.90,62,SWI,41.61,估值较低,申万一级行业,-183.53,12122.34,11927.75,0.00,1.03,123.73亿,3344.96亿,9.80万亿
298,931409,SHS创新药人民币,2132.67,-1.83,3.89,2,CSI,46.78,估值较低,中证指数,-39.83,2169.78,2126.74,0.00,0.86,7.46亿,290.40亿,3.29万亿
299,399655,深证绩效,11131.64,-0.19,3.88,0,SZ,22.74,估值较低,深证指数,-21.05,11183.35,11078.70,0.00,0.91,21.74亿,1125.44亿,7.48万亿
300,931152,CS创新药,1879.93,-1.77,3.87,2,CSI,47.63,估值较低,中证指数,-33.79,1914.18,1877.48,0.00,0.90,7.93亿,297.23亿,2.55万亿
301,932306,战略新兴100,2731.79,-0.61,3.86,2,CSI,32.38,估值较低,中证指数,-16.88,2737.23,2705.85,0.00,1.02,77.65亿,3310.05亿,15.62万亿
302,931066,军工龙头,3604.20,3.20,3.86,2,CSI,83.64,估值中等,中证指数,111.63,3619.26,3471.02,0.00,1.59,12.87亿,435.34亿,1.52万亿
303,399650,中小治理,2975.32,-0.17,3.86,0,SZ,31.71,估值较低,深证指数,-5.07,2991.20,2942.27,0.00,1.01,18.43亿,774.96亿,3.60万亿
304,931994,电网设备主题,3523.25,-0.33,3.85,2,CSI,39.81,估值较低,中证指数,-11.68,3535.69,3481.54,0.00,1.05,30.18亿,819.36亿,2.14万亿
305,399283,机器人50,5023.66,1.58,3.85,0,SZ,31.13,估值中等,深证指数,77.92,5026.00,4908.58,0.00,1.31,19.32亿,728.64亿,2.12万亿
306,000815,细分食品,17336.61,-0.41,3.84,1,CSI,22.17,估值较低,上证指数,-71.91,17413.29,17319.41,0.00,0.78,8.90亿,230.29亿,3.83万亿
307,970069,深证绿色制造,2132.78,-0.48,3.84,0,SZ,29.14,估值较低,深证指数,-10.38,2156.00,2124.30,0.00,1.10,37.14亿,1628.20亿,6.26万亿
308,470069,深证绿色制造R,2497.30,-0.48,3.84,0,SZ,29.14,估值较低,深证指数,-12.15,2524.48,2487.37,0.00,1.10,37.14亿,1628.20亿,6.26万亿
309,931583,SHS数字经济,1835.63,-1.12,3.83,2,CSI,32.74,估值较低,中证指数,-20.79,1843.14,1821.97,0.00,0.98,30.27亿,2056.32亿,14.77万亿
310,000819,有色金属,10727.48,0.04,3.80,1,SH,22.53,估值中等,上证指数,3.95,10767.43,10525.85,0.00,1.09,45.00亿,1278.49亿,4.89万亿
311,H50036,上证军工,11006.33,2.38,3.80,2,SH,76.55,估值中等,中证指数,256.03,11036.76,10647.87,0.00,1.30,16.25亿,657.46亿,2.21万亿
312,H30061,AMAC通用,3196.72,1.42,3.80,2,CSI,54.17,估值中等,中证指数,44.63,3202.99,3120.52,0.00,1.17,42.41亿,1135.83亿,2.75万亿
313,399668,创业板V,5479.42,-1.59,3.80,0,SZ,29.40,估值较低,深证指数,-88.41,5589.38,5472.18,0.00,0.99,32.59亿,1111.99亿,5.31万亿
314,000891,新兴综指,2217.70,-0.26,3.79,1,CSI,56.65,估值较低,上证指数,-5.79,2221.36,2198.52,0.00,1.07,561.02亿,1.77万亿,55.65万亿
315,H30031,800有色,12443.92,-0.05,3.79,2,CSI,22.48,估值中等,中证指数,-6.05,12490.38,12213.46,0.00,1.12,44.43亿,1231.85亿,4.60万亿
316,931136,深圳科技人民币,11444.67,-0.24,3.78,2,CSI,37.84,估值较低,中证指数,-27.29,11489.66,11363.05,0.00,0.98,10.63亿,444.64亿,2.36万亿
317,000912,300消费,19436.25,-0.38,3.76,1,SH,22.42,估值较低,上证指数,-73.98,19573.79,19403.26,0.00,0.63,2.68亿,158.69亿,3.87万亿
318,H11059,工业有色,4568.43,-0.08,3.75,2,CSI,20.69,估值中等,中证指数,-3.74,4583.72,4473.34,0.00,1.09,35.10亿,911.37亿,3.81万亿
319,931733,绿色能源,5796.01,-1.64,3.74,2,CSI,37.82,估值较低,中证指数,-96.41,5915.12,5791.08,0.00,1.04,32.29亿,1435.17亿,7.11万亿
320,399233,制造指数,4121.87,-0.01,3.73,0,SZ,48.74,估值中等,深证指数,-0.30,4129.17,4085.88,0.00,1.06,511.38亿,1.31万亿,38.06万亿
321,H50033,沪城消费,1912.70,-0.54,3.73,2,SH,25.55,估值较低,中证指数,-10.43,1922.04,1910.17,0.00,0.89,14.10亿,738.18亿,7.50万亿
322,399638,深证环保,8421.41,-2.24,3.73,0,SZ,33.39,估值较低,深证指数,-193.05,8650.88,8412.93,0.00,0.91,25.66亿,1188.86亿,5.77万亿
323,970046,深证XR,2664.33,0.99,3.72,0,SZ,52.91,估值中等,深证指数,26.20,2667.10,2609.79,0.00,1.12,44.15亿,997.54亿,2.67万亿
324,470046,深证XRR,2915.68,0.99,3.72,0,SZ,52.91,估值中等,深证指数,28.67,2918.71,2855.99,0.00,1.12,44.15亿,997.54亿,2.67万亿
325,000941,新能源,2973.84,-1.64,3.72,1,CSI,29.60,估值较低,上证指数,-49.43,3034.66,2970.98,0.00,0.91,24.23亿,1087.25亿,5.10万亿
326,399628,700成长,2868.72,-0.30,3.71,0,SZ,38.70,估值较低,深证指数,-8.59,2884.40,2849.92,0.00,1.05,60.54亿,1915.16亿,4.42万亿
327,399328,深证治理,11881.18,-1.19,3.70,0,SZ,23.25,估值较低,深证指数,-143.63,12000.86,11869.03,0.00,0.90,18.13亿,1087.90亿,7.57万亿
328,930721,CS智汽车,5691.39,0.29,3.69,2,CSI,42.57,估值中等,中证指数,16.72,5703.39,5611.92,0.00,1.00,16.47亿,710.70亿,3.11万亿
329,931187,科技100,5147.35,-0.36,3.69,2,CSI,36.64,估值较低,中证指数,-18.43,5163.91,5098.94,0.00,1.06,51.54亿,1641.12亿,6.61万亿
330,801120,食品饮料(申万),15432.27,-0.20,3.69,62,SWI,22.05,估值较低,申万一级行业,-31.29,15494.42,15413.54,0.00,0.83,16.67亿,299.30亿,4.18万亿
331,000964,中证新兴,12657.43,-1.10,3.68,1,SH,33.72,估值较低,上证指数,-141.09,12737.17,12576.69,0.00,1.03,83.41亿,4648.08亿,23.64万亿
332,H30094,消费红利,35373.51,0.06,3.67,2,CSI,20.62,估值较低,中证指数,20.25,35513.92,35242.38,0.00,0.69,5.30亿,178.38亿,3.41万亿
333,000811,细分有色,13017.72,0.39,3.66,1,CSI,22.32,估值中等,上证指数,50.91,13067.43,12766.20,0.00,1.08,47.33亿,1306.31亿,4.68万亿
334,931698,医药50策略,7545.80,-0.89,3.65,2,CSI,26.20,估值较低,中证指数,-68.07,7632.07,7532.48,0.00,0.88,7.71亿,278.95亿,2.52万亿
335,399682,深成工业,2176.97,-1.83,3.64,0,SZ,35.81,估值较低,深证指数,-40.66,2212.90,2174.56,0.00,1.11,60.29亿,1933.08亿,7.52万亿
336,930708,中证有色,3576.72,0.30,3.64,2,CSI,23.06,估值中等,中证指数,10.85,3590.57,3511.39,0.00,1.08,51.51亿,1407.67亿,4.93万亿
337,931746,储能产业,3933.43,-1.33,3.63,2,CSI,40.52,估值较低,中证指数,-52.86,3993.58,3928.81,0.00,1.15,31.46亿,876.83亿,5.49万亿
338,399615,深证工业,4749.49,-1.35,3.63,0,SZ,38.22,估值较低,深证指数,-64.86,4805.50,4740.26,0.00,1.11,83.67亿,2413.24亿,8.50万亿
339,930598,稀土产业,3238.56,-0.11,3.61,2,CSI,41.84,估值中等,中证指数,-3.55,3247.52,3200.17,0.00,0.91,29.68亿,554.18亿,1.58万亿
