序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市净率PB(LF) 2026.05.08,市场码,市场名,市盈率(TTM) 2026.05.08,市盈率估值状态 2026.05.08,指数小类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额 2026.05.08,总市值(元) 2026.05.08
512,480026,风光装备R,2319.94,-0.94,2.87,0,SZ,279.84,估值较低,深证指数,-21.92,2333.59,2299.53,0.00,1.07,20.07亿,532.08亿,1.98万亿
513,399683,深成可选,1979.23,0.38,2.87,0,SZ,22.57,估值中等,深证指数,7.57,1995.22,1967.23,0.00,1.21,32.38亿,640.51亿,3.22万亿
514,H30217,医疗器械,9845.23,1.02,2.86,2,CSI,47.27,估值中等,中证指数,99.88,9881.26,9764.62,0.00,1.17,8.58亿,225.37亿,1.33万亿
515,000067,上证新兴,9850.67,-0.45,2.86,1,SH,32.69,估值较低,上证指数,-44.71,9855.39,9753.20,0.00,1.05,39.77亿,2182.89亿,11.68万亿
516,H30255,500医药,10430.28,-0.91,2.85,2,CSI,31.88,估值较低,中证指数,-95.93,10544.91,10422.10,0.00,1.10,9.43亿,207.29亿,1.70万亿
517,000857,500医药,10430.28,-0.91,2.85,1,SH,31.88,估值较低,上证指数,-95.93,10544.91,10422.10,0.00,1.10,9.43亿,207.29亿,1.70万亿
518,930791,CS医药TI,9136.74,-0.74,2.85,2,CSI,36.69,估值较低,中证指数,-68.52,9216.04,9123.47,0.00,1.03,33.42亿,707.87亿,5.36万亿
519,399679,深证200R,7522.14,-0.29,2.85,0,SZ,46.11,估值较低,深证指数,-22.02,7544.13,7445.24,0.00,1.00,115.34亿,3207.75亿,9.07万亿
520,399009,深证200,6211.43,-0.29,2.85,0,SZ,46.11,估值较低,深证指数,-18.36,6229.59,6147.93,0.00,1.00,115.34亿,3207.75亿,9.07万亿
521,H30089,红利潜力,9842.00,-0.64,2.85,2,CSI,17.83,估值较低,中证指数,-63.08,9918.78,9833.05,0.00,0.70,8.98亿,747.96亿,12.08万亿
522,931027,港股通大消费港元,3049.00,-0.86,2.85,2,CSI,24.75,估值较低,中证指数,-26.37,3057.85,3035.41,0.00,0.76,8.52亿,352.26亿,9.07万亿
523,H30051,AMAC文教,2166.19,0.25,2.84,2,CSI,35.22,估值中等,中证指数,5.30,2168.31,2147.42,0.00,1.00,2.67亿,43.85亿,1439.35亿
524,930620,CSSW丝路,1719.82,-0.27,2.84,2,CSI,18.31,估值较低,中证指数,-4.70,1723.65,1712.45,0.00,0.97,29.84亿,1648.41亿,17.49万亿
525,000853,CSSW丝路,1719.81,-0.27,2.84,1,SH,18.31,估值较低,上证指数,-4.70,1723.65,1712.45,0.00,0.97,29.84亿,1648.41亿,17.49万亿
526,000852,中证1000,8741.15,0.31,2.84,1,SH,56.95,估值中等,上证指数,26.64,8760.19,8651.06,0.00,1.05,321.78亿,6567.47亿,17.40万亿
527,399852,中证1000,8741.15,0.31,2.84,0,SZ,56.95,估值中等,深证指数,26.64,8760.19,8651.06,0.00,1.05,321.78亿,6567.47亿,17.40万亿
528,000969,300非周,5873.48,-0.81,2.84,1,SH,27.42,估值较低,上证指数,-47.92,5899.59,5847.82,0.00,1.15,154.71亿,5648.65亿,36.52万亿
529,931151,光伏产业,3263.56,-0.36,2.83,2,CSI,1739.01,估值较低,中证指数,-11.79,3280.42,3224.61,0.00,1.03,41.26亿,746.14亿,2.56万亿
530,801980,美容护理(申万),4123.83,0.86,2.83,62,SWI,36.18,估值中等,申万一级行业,35.07,4127.31,4080.81,0.00,1.15,2.55亿,42.34亿,2755.44亿
531,H30344,健康产业,1306.83,-0.05,2.83,2,CSI,31.56,估值较低,中证指数,-0.59,1310.72,1300.75,0.00,0.87,27.27亿,556.37亿,4.38万亿
532,932082,全指医药行业,9359.62,-0.58,2.82,2,CSI,42.07,估值较低,中证指数,-54.99,9424.74,9339.85,0.00,0.99,51.61亿,999.01亿,6.40万亿
533,000994,全指通信,14616.57,0.90,2.82,1,CSI,31.37,估值中等,上证指数,130.42,14685.43,14303.44,0.00,1.14,53.61亿,2035.83亿,7.87万亿
534,000091,沪财中小,17269.31,1.08,2.82,1,SH,32.20,估值中等,上证指数,185.26,17286.47,16995.12,0.00,1.00,38.27亿,791.85亿,2.15万亿
535,000004,工业指数,4025.36,-0.19,2.81,1,SH,35.63,估值较低,上证指数,-7.69,4028.68,3994.75,0.00,1.01,423.35亿,1.08万亿,47.48万亿
536,931481,SHS线上消费人民币,1030.48,0.22,2.81,2,CSI,24.13,估值较低,中证指数,2.26,1036.22,1023.69,0.00,1.25,36.96亿,858.29亿,8.19万亿
537,000813,细分化工,4270.17,-1.57,2.81,1,CSI,25.62,估值较低,上证指数,-68.06,4354.15,4251.76,0.00,0.91,24.20亿,684.45亿,2.94万亿
538,399646,深消费50,7739.58,-0.21,2.81,0,SZ,24.44,估值较低,深证指数,-16.24,7792.98,7735.69,0.00,1.07,31.60亿,674.39亿,4.59万亿
539,932359,国新国企人工智能,3661.23,2.68,2.81,2,CSI,33.31,估值较低,中证指数,95.46,3662.26,3512.83,0.00,1.11,18.07亿,1271.85亿,7.42万亿
540,H11044,AMAC信息,3847.46,-0.22,2.81,2,CSI,43.52,估值中等,中证指数,-8.34,3881.84,3821.77,0.00,1.17,100.09亿,2629.56亿,9.41万亿
541,H11030,AMAC农林,2648.00,-0.73,2.80,2,CSI,79.55,估值较低,中证指数,-19.49,2687.79,2644.69,0.00,0.72,10.27亿,82.04亿,6547.99亿
542,000146,优势制造,8754.50,0.49,2.80,1,SH,57.27,估值中等,上证指数,42.92,8769.29,8643.96,0.00,1.18,34.11亿,1000.76亿,3.94万亿
543,000949,中证农业,5752.33,-1.01,2.80,1,CSI,38.28,估值较低,上证指数,-58.85,5844.28,5737.89,0.00,0.76,14.29亿,196.36亿,1.44万亿
544,399280,生物50,1965.54,0.03,2.80,0,SZ,124.80,估值较低,深证指数,0.50,1980.58,1962.92,0.00,1.08,9.97亿,197.45亿,1.03万亿
545,950580,上证580,2363.41,0.62,2.79,2,SH,79.82,估值中等,中证指数,14.53,2367.78,2330.56,0.00,1.02,150.44亿,3037.73亿,8.38万亿
546,399665,中创低波,2526.79,-0.09,2.79,0,SZ,27.24,估值较低,深证指数,-2.22,2533.07,2512.21,0.00,0.89,76.74亿,1575.07亿,11.14万亿
547,931834,福建100,2085.51,0.29,2.78,2,CSI,19.54,估值较低,中证指数,6.02,2088.96,2063.81,0.00,1.13,30.68亿,914.66亿,5.25万亿
548,H30192,食品,5696.29,-0.25,2.78,2,CSI,31.45,估值较低,中证指数,-14.44,5717.55,5668.21,0.00,0.88,13.35亿,180.08亿,1.31万亿
549,000126,消费50,7438.00,0.41,2.78,1,SH,21.16,估值中等,上证指数,30.24,7461.14,7394.88,0.00,0.93,11.20亿,433.88亿,4.79万亿
550,399618,深证医药,7700.56,-0.33,2.77,0,SZ,40.32,估值较低,深证指数,-25.88,7763.19,7694.13,0.00,1.04,13.49亿,295.50亿,1.90万亿
551,000095,上证中游,4609.93,-0.72,2.76,1,SH,37.31,估值较低,上证指数,-33.65,4614.59,4570.25,0.00,1.18,144.35亿,4543.85亿,17.64万亿
552,000909,300材料,4459.85,-0.27,2.75,1,SH,20.74,估值较低,上证指数,-12.13,4476.81,4391.66,0.00,0.88,36.78亿,894.24亿,5.15万亿
553,801760,传媒(申万),834.91,-0.16,2.75,62,SWI,43.35,估值较低,申万一级行业,-1.34,850.44,834.70,0.00,1.18,56.67亿,799.73亿,1.76万亿
554,931442,SHS科技100人民币,10130.13,-0.03,2.75,2,CSI,22.24,估值较低,中证指数,-3.45,10152.90,10051.28,0.00,0.99,50.20亿,1227.00亿,12.00万亿
555,000102,沪投资品,8590.78,-0.18,2.75,1,SH,24.92,估值较低,上证指数,-15.71,8606.95,8499.30,0.00,1.05,47.17亿,1299.70亿,7.42万亿
556,930790,CS娱乐TI,1420.54,-0.05,2.74,2,CSI,114.57,估值中等,中证指数,-0.69,1440.53,1419.57,0.00,1.15,61.32亿,866.26亿,1.98万亿
557,399614,深证材料,4512.75,-0.65,2.74,0,SZ,34.56,估值较低,深证指数,-29.36,4571.90,4476.03,0.00,0.98,61.05亿,1562.32亿,4.83万亿
558,399231,农林指数,1312.16,-0.95,2.74,0,SZ,56.56,估值较低,深证指数,-12.52,1335.26,1310.34,0.00,0.66,7.46亿,58.51亿,5322.66亿
559,931575,SHS物联网,5754.36,-0.20,2.73,2,CSI,23.25,估值较低,中证指数,-11.34,5761.93,5682.14,0.00,0.97,28.12亿,1723.30亿,13.70万亿
560,970062,深红利300,5996.79,0.01,2.73,0,SZ,22.72,估值较低,深证指数,0.81,6011.98,5959.03,0.00,1.06,108.74亿,2926.66亿,15.00万亿
561,470062,深红利300R,8792.55,0.02,2.73,0,SZ,22.72,估值较低,深证指数,1.60,8814.82,8737.18,0.00,1.06,108.74亿,2926.66亿,15.00万亿
562,399685,深成医药,1558.35,-0.55,2.73,0,SZ,40.17,估值较低,深证指数,-8.56,1571.72,1556.99,0.00,1.06,11.43亿,236.42亿,1.69万亿
563,000942,内地消费,9461.70,0.08,2.73,1,CSI,20.75,估值中等,上证指数,7.62,9498.95,9445.26,0.00,0.91,12.87亿,593.39亿,7.86万亿
564,930701,CS京津冀,1686.69,-0.21,2.72,2,CSI,-258.26,估值中等,中证指数,-3.63,1691.81,1675.49,0.00,1.03,28.32亿,636.46亿,2.17万亿
565,399669,深证农业,8129.86,-1.00,2.72,0,SZ,29.18,估值较低,深证指数,-81.78,8249.57,8113.62,0.00,0.74,11.57亿,250.36亿,2.42万亿
566,932152,港股通成长策略,1282.37,-0.50,2.71,2,CSI,20.73,估值较低,中证指数,-6.46,1286.05,1272.43,0.00,1.05,59.84亿,1517.54亿,31.87万亿
567,931992,疫苗生物,1222.81,0.12,2.71,2,CSI,1444.68,估值较低,中证指数,1.48,1234.06,1217.31,0.00,0.96,4.93亿,120.46亿,8695.69亿
568,399242,商务指数,1546.16,-0.70,2.70,0,SZ,116.29,估值较低,深证指数,-10.90,1570.48,1541.80,0.00,1.19,33.90亿,359.20亿,5733.22亿
569,931637,港股通互联网,878.17,0.63,2.70,2,CSI,22.30,估值较低,中证指数,5.51,882.04,866.40,0.00,1.03,15.52亿,440.36亿,8.36万亿
570,399639,深证大宗,2626.54,-1.49,2.70,0,SZ,28.24,估值较低,深证指数,-39.79,2681.63,2613.59,0.00,0.87,28.18亿,812.36亿,3.32万亿
571,399627,中创价值,2748.52,-0.41,2.69,0,SZ,24.26,估值较低,深证指数,-11.20,2767.30,2735.04,0.00,0.99,62.34亿,1597.91亿,9.56万亿
572,000108,380消费,12511.24,-0.02,2.69,1,SH,22.77,估值较低,上证指数,-2.92,12584.76,12429.81,0.00,0.80,2.80亿,50.20亿,4178.60亿
573,932451,智选质量领先50,2251.46,0.02,2.69,2,CSI,16.44,估值中等,中证指数,0.42,2254.80,2235.41,0.00,0.89,11.71亿,477.66亿,4.70万亿
574,399810,CSSW传媒,3156.77,-0.21,2.68,0,SZ,58.38,估值较低,深证指数,-6.73,3215.69,3154.87,0.00,1.19,47.65亿,712.69亿,1.49万亿
575,H50002,180材料,3722.92,0.09,2.68,2,SH,19.55,估值中等,中证指数,3.28,3734.63,3654.28,0.00,0.86,24.62亿,574.73亿,3.73万亿
576,932257,国新央企小盘,1363.13,1.14,2.67,2,CSI,359.08,估值中等,中证指数,15.42,1365.82,1340.30,0.00,1.17,63.32亿,857.06亿,2.29万亿
577,000929,800材料,5047.73,-0.29,2.67,1,CSI,24.00,估值较低,上证指数,-14.67,5062.06,4975.74,0.00,0.95,77.95亿,1859.88亿,8.44万亿
578,930660,CSSW体育,1597.22,0.49,2.67,2,CSI,-88.60,估值较低,中证指数,7.76,1613.42,1593.59,0.00,1.01,18.00亿,275.45亿,7892.78亿
579,H30053,AMAC化学,3708.61,-0.67,2.67,2,CSI,38.36,估值较低,中证指数,-25.13,3746.51,3689.56,0.00,0.91,66.61亿,1307.77亿,4.73万亿
580,399647,深医药50,7559.19,-0.56,2.67,0,SZ,39.52,估值较低,深证指数,-42.77,7623.88,7552.58,0.00,1.05,11.41亿,236.76亿,1.70万亿
581,931778,农牧主题,1611.80,-0.81,2.67,2,CSI,35.03,估值较低,中证指数,-13.10,1632.70,1601.82,0.00,0.72,15.40亿,214.76亿,1.48万亿
582,970061,深证ESG价值,2010.33,-0.33,2.67,0,SZ,23.92,估值中等,深证指数,-6.75,2015.29,1986.47,0.00,0.98,25.77亿,773.71亿,2.55万亿
583,470061,深证ESG价值R,2389.66,-0.33,2.67,0,SZ,23.92,估值中等,深证指数,-8.02,2395.56,2361.29,0.00,0.98,25.77亿,773.71亿,2.55万亿
584,000071,材料等权,5652.63,-0.25,2.66,1,SH,21.37,估值较低,上证指数,-14.07,5669.29,5567.01,0.00,0.93,44.17亿,999.05亿,5.28万亿
585,000033,上证材料,4031.26,-0.12,2.66,1,SH,21.37,估值较低,上证指数,-4.72,4042.22,3965.58,0.00,0.93,44.17亿,999.05亿,5.28万亿
586,H30252,500工业,8806.34,0.11,2.66,2,CSI,42.27,估值中等,中证指数,9.33,8815.46,8715.92,0.00,1.00,56.21亿,1587.34亿,5.07万亿
587,000856,500工业,8806.34,0.11,2.66,1,SH,42.27,估值中等,上证指数,9.33,8815.46,8715.92,0.00,1.00,56.21亿,1587.34亿,5.07万亿
588,932078,全指材料行业,5586.73,-0.06,2.66,2,CSI,32.40,估值较低,中证指数,-3.48,5603.12,5520.69,0.00,0.98,211.46亿,4090.49亿,13.78万亿
589,980070,国证专利,3957.50,-0.91,2.65,0,SZ,29.59,估值较低,深证指数,-36.24,3973.72,3936.96,0.00,1.05,77.40亿,2619.46亿,17.70万亿
590,480070,国证专利R,4911.15,-0.90,2.65,0,SZ,29.59,估值较低,深证指数,-44.75,4931.28,4885.65,0.00,1.05,77.40亿,2619.46亿,17.70万亿
591,000987,全指材料,5725.44,-0.24,2.65,1,SH,27.35,估值较低,上证指数,-13.98,5743.30,5647.72,0.00,0.97,107.62亿,2528.11亿,10.29万亿
592,932315,中证红利质量,4637.75,0.10,2.65,2,CSI,15.32,估值较低,中证指数,4.85,4651.02,4611.46,0.00,0.82,9.89亿,334.68亿,7.04万亿
593,399617,深证消费,8336.69,-1.21,2.63,0,SZ,29.41,估值较低,深证指数,-101.79,8452.48,8330.31,0.00,0.63,5.07亿,101.60亿,1.63万亿
594,399681,深成材料,1582.44,-0.89,2.62,0,SZ,33.12,估值较低,深证指数,-14.21,1607.01,1570.06,0.00,0.96,46.76亿,1202.29亿,4.04万亿
595,000905,中证500,8694.17,-0.03,2.62,1,SH,37.91,估值较低,上证指数,-2.63,8706.33,8616.22,0.00,1.09,271.14亿,6090.03亿,20.30万亿
596,399982,500等权,10204.39,0.04,2.62,0,SZ,37.91,估值较低,深证指数,4.33,10218.26,10125.34,0.00,1.09,271.14亿,6090.03亿,20.30万亿
597,399905,中证500,8694.17,-0.03,2.62,0,SZ,37.91,估值较低,深证指数,-2.63,8706.33,8616.22,0.00,1.09,271.14亿,6090.03亿,20.30万亿
598,931648,500ESG,1613.72,0.27,2.61,2,CSI,32.89,估值较低,中证指数,4.32,1614.95,1595.40,0.00,1.07,181.61亿,4816.70亿,16.30万亿
599,801030,基础化工(申万),4978.21,-0.14,2.61,62,SWI,33.49,估值较低,申万一级行业,-6.97,5000.10,4951.22,0.00,0.92,85.66亿,1459.62亿,5.07万亿
600,399341,深证责任,1757.92,-0.35,2.61,0,SZ,29.96,估值较低,深证指数,-6.18,1765.66,1749.98,0.00,0.96,43.02亿,1453.00亿,8.49万亿
601,931946,畜牧养殖,714.73,-0.90,2.61,2,CSI,41.71,估值较低,中证指数,-6.47,724.53,713.64,0.00,0.70,11.79亿,116.33亿,1.16万亿
602,000936,800通信,12986.16,0.90,2.60,1,CSI,28.46,估值中等,上证指数,116.41,13049.37,12723.45,0.00,1.14,45.08亿,1731.43亿,7.02万亿
603,000045,上证小盘,6565.45,0.16,2.60,1,SH,43.52,估值中等,上证指数,10.30,6575.90,6505.74,0.00,1.14,171.13亿,3535.36亿,12.44万亿
604,H50016,沪东北,3873.61,-0.24,2.60,2,SH,28.84,估值较低,中证指数,-9.21,3895.31,3838.77,0.00,0.92,29.28亿,337.81亿,1.62万亿
605,970038,生物经济,2058.29,-0.32,2.60,0,SZ,57.36,估值较低,深证指数,-6.65,2074.74,2056.60,0.00,0.98,9.46亿,237.99亿,1.43万亿
606,470038,生物经济R,2316.62,-0.32,2.60,0,SZ,57.36,估值较低,深证指数,-7.48,2335.13,2314.72,0.00,0.98,9.46亿,237.99亿,1.43万亿
607,399676,深医药EW,3877.87,0.31,2.59,0,SZ,48.63,估值较低,深证指数,12.08,3889.49,3862.84,0.00,0.96,32.50亿,551.60亿,2.81万亿
608,399674,深A医药,1903.86,-0.22,2.59,0,SZ,48.63,估值较低,深证指数,-4.11,1917.02,1901.58,0.00,0.96,32.50亿,551.60亿,2.81万亿
609,987024,港股通消费,1086.31,-0.30,2.59,0,SZ,15.45,估值较低,深证指数,-3.29,1092.34,1083.35,0.00,0.75,3.42亿,131.46亿,3.38万亿
610,399684,深成消费,1620.19,-1.00,2.59,0,SZ,30.76,估值较低,深证指数,-16.31,1638.80,1618.94,0.00,0.65,6.06亿,115.56亿,1.74万亿
611,930697,家用电器,12772.24,1.09,2.59,2,CSI,19.48,估值中等,中证指数,138.12,12816.34,12557.62,0.00,1.10,17.25亿,434.41亿,2.13万亿
612,H30046,AMAC皮革,726.49,1.24,2.57,2,CSI,26.13,估值中等,中证指数,8.93,727.26,714.61,0.00,0.95,1.13亿,12.11亿,805.20亿
613,931455,港股通消费人民币,1633.45,-0.12,2.56,2,CSI,15.34,估值较低,中证指数,-2.00,1644.54,1626.95,0.00,0.83,3.62亿,120.31亿,3.36万亿
614,931454,港股通消费港元,1485.64,-0.18,2.56,2,CSI,15.34,估值较低,中证指数,-2.74,1495.41,1480.52,0.00,0.83,3.62亿,138.45亿,3.36万亿
615,H30251,500原料,7058.91,-0.32,2.56,2,CSI,31.80,估值较低,中证指数,-22.38,7088.18,6967.54,0.00,1.03,41.17亿,965.64亿,3.29万亿
616,000854,500原料,7058.91,-0.32,2.56,1,SH,31.80,估值较低,上证指数,-22.38,7088.18,6967.54,0.00,1.03,41.17亿,965.64亿,3.29万亿
617,980073,生猪指数,2811.99,-0.96,2.56,0,SZ,43.64,估值较低,深证指数,-27.34,2849.54,2807.46,0.00,0.72,8.96亿,94.20亿,9857.30亿
618,480073,生猪指数R,3382.33,-0.96,2.56,0,SZ,43.64,估值较低,深证指数,-32.89,3427.49,3376.87,0.00,0.72,8.96亿,94.20亿,9857.30亿
619,931554,长江保护,2157.98,-0.59,2.56,2,CSI,24.64,估值较低,中证指数,-12.80,2167.79,2145.94,0.00,1.30,84.90亿,2328.69亿,14.84万亿
620,399236,批零指数,1632.89,-0.49,2.56,0,SZ,54.70,估值较低,深证指数,-8.07,1637.83,1624.79,0.00,0.95,25.94亿,411.38亿,9631.51亿
621,H30064,AMAC运输,3143.25,2.02,2.56,2,CSI,39.04,估值中等,中证指数,62.18,3148.80,3060.60,0.00,1.14,20.42亿,511.81亿,2.19万亿
622,931755,SEEE碳中和,2224.47,-0.97,2.55,2,CSI,24.98,估值较低,中证指数,-21.74,2248.72,2214.30,0.00,1.01,67.72亿,1972.42亿,11.85万亿
623,930975,港股通医药C人民币,3661.81,-1.53,2.55,2,CSI,40.16,估值较低,中证指数,-57.06,3701.34,3639.37,0.00,0.84,5.58亿,90.59亿,2.81万亿
624,930965,港股通医药C港元,3330.46,-1.60,2.55,2,CSI,40.16,估值较低,中证指数,-53.98,3368.14,3308.54,0.00,0.84,5.58亿,104.25亿,2.81万亿
625,399971,中证传媒,1531.57,-0.33,2.54,0,SZ,44.82,估值较低,深证指数,-5.07,1559.53,1530.15,0.00,1.13,38.43亿,573.94亿,1.23万亿
626,399013,深市精选,6226.23,-0.14,2.54,0,SZ,31.83,估值较低,深证指数,-8.96,6235.43,6175.62,0.00,1.04,196.88亿,5554.06亿,21.32万亿
627,399050,创新引擎,3428.89,0.27,2.52,0,SZ,61.10,估值中等,深证指数,9.12,3433.85,3391.60,0.00,1.05,36.42亿,1200.02亿,4.83万亿
628,801880,汽车(申万),8095.88,0.70,2.52,62,SWI,30.61,估值中等,申万一级行业,56.04,8108.97,7997.95,0.00,1.12,55.32亿,1153.04亿,5.27万亿
629,801110,家用电器(申万),9267.70,1.06,2.52,62,SWI,15.97,估值中等,申万一级行业,97.01,9304.10,9131.87,0.00,1.10,20.27亿,439.86亿,2.13万亿
630,H30063,AMAC汽车,9954.66,0.63,2.51,2,CSI,37.88,估值中等,中证指数,62.04,9978.34,9829.38,0.00,1.18,41.20亿,934.98亿,4.25万亿
631,970072,深证民企价值,3941.47,-1.07,2.51,0,SZ,22.08,估值较低,深证指数,-42.62,3984.03,3922.98,0.00,0.92,20.54亿,620.91亿,4.27万亿
632,470072,深证民企价值R,5287.96,-1.06,2.51,0,SZ,22.08,估值较低,深证指数,-56.49,5345.06,5263.15,0.00,0.92,20.54亿,620.91亿,4.27万亿
633,930796,全球中国互联网人民币,1862.60,0.20,2.51,2,CSI,18.70,估值较低,中证指数,3.80,1868.61,1847.38,0.00,0.97,12.17亿,566.94亿,11.47万亿
634,H30056,AMAC橡胶,5488.03,0.57,2.49,2,CSI,44.10,估值中等,中证指数,31.29,5492.78,5407.53,0.00,1.05,17.45亿,320.03亿,1.04万亿
635,931021,家电龙头,17724.41,1.00,2.48,2,CSI,15.71,估值中等,中证指数,176.15,17848.34,17455.32,0.00,1.08,9.71亿,306.62亿,1.86万亿
636,930707,中证畜牧,2118.78,-0.97,2.48,2,CSI,72.43,估值较低,中证指数,-20.71,2149.41,2115.77,0.00,0.68,8.84亿,78.80亿,8008.52亿
637,000059,全R成长,3633.91,-0.60,2.48,1,SH,22.68,估值较低,上证指数,-22.04,3637.19,3606.12,0.00,1.11,214.29亿,6222.56亿,36.75万亿
638,931772,碳中和60,1953.34,-1.13,2.48,2,CSI,30.24,估值较低,中证指数,-22.39,1978.82,1950.27,0.00,1.03,53.74亿,1541.88亿,9.53万亿
639,930662,CS现代农,1028.03,-0.87,2.47,2,CSI,56.48,估值较低,中证指数,-9.03,1042.28,1026.60,0.00,0.72,8.63亿,84.31亿,8796.85亿
640,931241,家居家电,1590.12,1.51,2.47,2,CSI,16.21,估值中等,中证指数,23.59,1596.63,1559.35,0.00,1.14,12.08亿,335.05亿,2.05万亿
641,801010,农林牧渔(申万),2825.31,-0.48,2.46,62,SWI,46.16,估值较低,申万一级行业,-13.75,2854.28,2821.93,0.00,0.80,20.89亿,196.60亿,1.37万亿
642,980063,国证回购,4025.63,-0.59,2.46,0,SZ,16.87,估值较低,深证指数,-23.99,4035.43,3997.97,0.00,0.92,25.98亿,566.60亿,7.33万亿
643,480063,国证回购R,4759.94,-0.59,2.46,0,SZ,16.87,估值较低,深证指数,-28.37,4771.53,4727.24,0.00,0.92,25.98亿,566.60亿,7.33万亿
644,000064,非周期,3870.53,-0.98,2.45,1,SH,25.85,估值较低,上证指数,-38.34,3885.88,3852.76,0.00,1.32,111.96亿,3088.95亿,20.23万亿
645,000106,380工业,6875.77,0.69,2.45,1,SH,35.34,估值中等,上证指数,47.03,6886.91,6781.54,0.00,1.09,33.80亿,874.15亿,3.22万亿
646,931725,中华联合优质成长,10137.48,-0.30,2.43,2,CSI,22.49,估值较低,中证指数,-30.29,10159.43,10067.36,0.00,1.02,196.11亿,7501.54亿,32.43万亿
647,399703,深证F200,8249.17,-0.79,2.43,0,SZ,30.26,估值较低,深证指数,-65.65,8307.94,8207.92,0.00,1.00,131.62亿,3491.65亿,19.69万亿
648,930604,中国互联网30人民币,8481.67,0.43,2.43,2,CSI,18.10,估值较低,中证指数,36.25,8510.54,8393.85,0.00,0.95,7.50亿,397.18亿,10.80万亿
649,000802,500沪市,8542.63,0.16,2.42,1,SH,36.89,估值较低,上证指数,13.53,8555.09,8468.98,0.00,1.16,143.75亿,2615.15亿,10.98万亿
650,801140,轻工制造(申万),2569.20,1.42,2.41,62,SWI,39.58,估值中等,申万一级行业,36.01,2569.75,2525.61,0.00,1.04,29.24亿,327.88亿,1.16万亿
651,932080,全指可选行业,5618.29,1.05,2.41,2,CSI,29.93,估值中等,中证指数,58.41,5627.08,5540.35,0.00,1.11,92.95亿,1829.34亿,8.26万亿
652,000115,380等权,9549.61,0.16,2.41,1,SH,32.95,估值中等,上证指数,15.57,9566.06,9476.08,0.00,1.14,155.24亿,3151.50亿,12.73万亿
653,000009,上证380,7419.89,0.14,2.41,1,SH,32.95,估值中等,上证指数,10.57,7430.72,7355.75,0.00,1.14,155.24亿,3151.50亿,12.73万亿
654,930734,360互联+,30480.89,1.32,2.40,2,CSI,-375.05,估值较低,中证指数,396.02,30517.12,29959.05,0.00,1.05,13.42亿,183.95亿,5855.50亿
655,930738,四川国改,2736.01,-0.68,2.40,2,CSI,24.66,估值较低,中证指数,-18.82,2744.42,2721.05,0.00,0.88,16.76亿,311.46亿,1.68万亿
656,931672,风电产业,2200.53,0.11,2.39,2,CSI,44.51,估值较低,中证指数,2.42,2209.23,2182.15,0.00,1.09,36.07亿,583.93亿,1.99万亿
657,H30533,中国互联网50人民币,7928.15,-0.24,2.39,2,CSI,17.63,估值较低,中证指数,-19.01,7962.94,7861.90,0.00,0.99,7.89亿,401.21亿,10.86万亿
658,932079,全指工业行业,4940.42,-0.19,2.39,2,CSI,38.97,估值较低,中证指数,-9.17,4950.13,4912.16,0.00,1.15,385.26亿,7675.85亿,25.78万亿
659,000099,上证F300,9830.50,0.09,2.39,1,SH,38.58,估值较低,上证指数,8.75,9854.06,9772.55,0.00,1.04,127.75亿,2682.60亿,12.40万亿
660,000916,300通信,7568.76,0.24,2.38,1,CSI,24.98,估值中等,上证指数,18.42,7643.28,7436.12,0.00,1.13,15.89亿,912.64亿,5.61万亿
661,H30359,转型成长,46217.57,1.14,2.38,2,CSI,32.57,估值中等,中证指数,521.79,46298.37,45573.25,0.00,1.11,22.92亿,347.65亿,8487.87亿
662,931752,工程机械主题,2811.35,-2.17,2.37,2,CSI,26.60,估值较低,中证指数,-62.38,2848.08,2796.65,0.00,1.00,15.64亿,289.95亿,1.55万亿
663,H11136,中国互联网,4486.40,0.59,2.37,2,CSI,17.66,估值较低,中证指数,26.21,4496.87,4435.87,0.00,1.10,6.57亿,362.40亿,10.14万亿
664,932307,中国互联网人民币中间价,4485.84,0.58,2.37,2,CSI,17.66,估值较低,中证指数,25.78,4496.89,4433.80,0.00,1.10,6.57亿,364.75亿,10.14万亿
665,931468,红利质量,35328.91,-0.56,2.37,2,CSI,14.01,估值较低,中证指数,-198.80,35521.20,35171.86,0.00,0.81,8.16亿,655.11亿,7.87万亿
666,H30531,精工制造,4630.46,-0.23,2.36,2,CSI,29.75,估值较低,中证指数,-10.48,4644.33,4598.26,0.00,1.21,143.37亿,4002.14亿,17.61万亿
667,000158,上证环保,1516.09,-0.45,2.36,1,SH,50.99,估值较低,上证指数,-6.86,1526.15,1501.74,0.00,1.08,31.17亿,452.24亿,3.01万亿
668,399324,深证红利,9279.21,-0.87,2.35,0,SZ,16.81,估值较低,深证指数,-81.05,9337.57,9254.02,0.00,0.94,17.94亿,388.56亿,4.25万亿
669,930939,500质量成长,23915.01,0.22,2.35,2,CSI,20.38,估值中等,中证指数,53.54,23927.15,23597.13,0.00,1.22,48.39亿,1163.40亿,4.15万亿
670,H11152,内地民营港元,1475.35,0.03,2.35,2,CSI,18.83,估值较低,中证指数,0.37,1480.27,1462.74,0.00,0.87,12.28亿,674.95亿,14.68万亿
